doc_id,doc_type,theme_tags,modality_profile,source_path,source_url,sha256,license_note,ingestion_status,notes
paper-attention-2017,research_paper,transformers|sequence-modeling|foundations,text-heavy,datasets/seed_corpus/source/2017_attention_is_all_you_need.pdf,https://arxiv.org/pdf/1706.03762.pdf,bdfaa68d8984f0dc02beaca527b76f207d99b666d31d1da728ee0728182df697,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Attention Is All You Need (arXiv:1706.03762) introduced the transformer architecture
paper-bert-2018,research_paper,bert|pretraining|nlp,text-heavy,datasets/seed_corpus/source/2018_bert_pretraining_of_deep_bidirectional_transformers_for_language_understanding.pdf,https://arxiv.org/pdf/1810.04805.pdf,5692a5514787a8c6727b4ff3b726a3385798bc68e12138d1d4af83947e2acf6e,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,BERT (arXiv:1810.04805) established bidirectional transformer pretraining for NLP
paper-gpt3-2020,research_paper,gpt|few-shot|scaling,text-heavy,datasets/seed_corpus/source/2020_language_models_are_few_shot_learners.pdf,https://arxiv.org/pdf/2005.14165.pdf,97fd272f1fdfc18677462d0292f5fbf26ca86b4d1b485c2dba03269b643a0e83,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Language Models are Few-Shot Learners (arXiv:2005.14165) drove the modern LLM scaling wave
paper-scaling-laws-2020,research_paper,scaling-laws|training|foundations,text-heavy,datasets/seed_corpus/source/2020_scaling_laws_for_neural_language_models.pdf,https://arxiv.org/pdf/2001.08361.pdf,a41bd7877fd1a6bcbba096b2619618bd2f90e02488f2365644903eb2f7c6a494,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Scaling Laws for Neural Language Models (arXiv:2001.08361) formalized performance scaling trends
paper-rag-2020,research_paper,retrieval|rag|knowledge-intensive-nlp,text-heavy,datasets/seed_corpus/source/2020_retrieval_augmented_generation_for_knowledge_intensive_nlp_tasks.pdf,https://arxiv.org/pdf/2005.11401.pdf,23e3249e9a1e75418d82efecab0ea8c4d033b89c93742f63208d47ce01f21233,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks (arXiv:2005.11401) shaped modern retrieval-augmented systems
paper-instructgpt-2022,research_paper,alignment|rlhf|instruction-following,text-heavy,datasets/seed_corpus/source/2022_training_language_models_to_follow_instructions_with_human_feedback.pdf,https://arxiv.org/pdf/2203.02155.pdf,c1984bb50a5b90fddb895fdc3a0f72e5bc977148c9f63ef6040cbe7a3e1f0d98,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Training Language Models to Follow Instructions with Human Feedback (arXiv:2203.02155) helped define the RLHF era
paper-cot-2022,research_paper,reasoning|prompting|chain-of-thought,text-heavy,datasets/seed_corpus/source/2022_chain_of_thought_prompting_elicits_reasoning_in_large_language_models.pdf,https://arxiv.org/pdf/2201.11903.pdf,7d9f878c23b460e4566aa4ec9201b1abfb3b8faefb2b1356e411cb90fef72a12,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models (arXiv:2201.11903) influenced reasoning workflows
paper-chinchilla-2022,research_paper,compute-optimal|scaling|training,text-heavy,datasets/seed_corpus/source/2022_training_compute_optimal_large_language_models.pdf,https://arxiv.org/pdf/2203.15556.pdf,3fd3632a8ef48171bd25282990221d49535d75356192f068b3b2ebe08f2aedd4,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,Training Compute-Optimal Large Language Models (arXiv:2203.15556) reset best practices for data and compute tradeoffs
paper-palm-2022,research_paper,scaling|reasoning|foundation-models,text-heavy,datasets/seed_corpus/source/2022_palm_scaling_language_modeling_with_pathways.pdf,https://arxiv.org/pdf/2204.02311.pdf,1e88f1f3027cd1abecb1713c1c08a89137c7730582549ec7ca78ca329f3f975d,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,PaLM: Scaling Language Modeling with Pathways (arXiv:2204.02311) showed large-scale reasoning gains from further scale
paper-llama-2023,research_paper,open-weights|llm|ecosystem,text-heavy,datasets/seed_corpus/source/2023_llama_open_and_efficient_foundation_language_models.pdf,https://arxiv.org/pdf/2302.13971.pdf,2e663675ae36ad12adb2f5a05281bac2747ecf8d23d92bedd9f937a89fee7136,Downloaded from official arXiv source; verify redistribution terms before commit or publish,planned,LLaMA: Open and Efficient Foundation Language Models (arXiv:2302.13971) accelerated the open-weights LLM ecosystem
